date,value
10/13/2025,334
10/13/2025,183
10/13/2025,351
10/13/2025,300
10/10/2025,56
10/10/2025,316
10/10/2025,468
10/10/2025,113
,
10/10/2025,1269
,0
10/10/2025,172
,
10/10/2025,151
10/10/2025,171
10/10/2025,146
10/10/2025,528
,0
,0
10/10/2025,423
10/10/2025,95
,0
10/10/2025,1149
10/10/2025,850
,0
,0
10/9/2025,1087
10/9/2025,342
10/9/2025,503
10/9/2025,340
10/9/2025,128
,0
,0
10/9/2025,1076
,
,0
10/9/2025,130
10/9/2025,715
10/9/2025,236
10/9/2025,538
10/9/2025,135
10/9/2025,821
10/9/2025,372
10/9/2025,1636
10/9/2025,892
10/9/2025,321
,0
,0
10/8/2025,609
10/8/2025,1875
10/8/2025,549
10/8/2025,2813
10/8/2025,144
10/8/2025,1987
10/8/2025,519
10/8/2025,308
,0
,0
,0
10/8/2025,587
,0
10/8/2025,102
10/8/2025,169
10/8/2025,873
10/8/2025,256
10/8/2025,519
10/8/2025,196
10/8/2025,341
,0
10/8/2025,315
10/8/2025,211
10/7/2025,0
10/7/2025,891
10/7/2025,0
,0
10/7/2025,365
10/7/2025,163
10/7/2025,840
10/7/2025,741
10/7/2025,229
,0
,0
10/7/2025,1537
10/7/2025,634
10/7/2025,298
5 12:19 PM,0
,
10/7/2025,1286
10/7/2025,1864
10/7/2025,395
10/7/2025,161
5 10:02 AM,0
10/7/2025,567
,0
,0
10/7/2025,28
10/7/2025,505
,0
,0
10/6/2025,1742
10/6/2025,316
,0
10/6/2025,31
10/6/2025,189
10/6/2025,48
10/6/2025,327
,0
,0
,0
10/6/2025,291
10/6/2025,1
10/6/2025,352
10/6/2025,1750
10/6/2025,809
,0
10/6/2025,38
,0
,0
10/6/2025,214
10/6/2025,79
10/3/2025,291
10/3/2025,397
10/3/2025,256
10/3/2025,143
10/3/2025,321
10/3/2025,708
10/3/2025,1166
10/3/2025,320
,0
,0
10/3/2025,98
10/3/2025,161
,0
,0
10/3/2025,477
10/3/2025,994
10/3/2025,495
10/3/2025,315
10/3/2025,344
,0
10/3/2025,306
10/3/2025,52
10/3/2025,122
10/3/2025,917
10/3/2025,410
,0
10/2/2025,325
10/2/2025,400
,
10/2/2025,492
10/2/2025,518
,0
10/2/2025,584
,0
,0
10/2/2025,361
,0
10/2/2025,1994
10/2/2025,370
,0
10/2/2025,1034
10/2/2025,195
,
10/2/2025,198
10/2/2025,218
,0
,0
10/2/2025,499
,0
,0
,0
10/2/2025,729
10/1/2025,111
,0
,0
10/1/2025,888
10/1/2025,346
10/1/2025,209
10/1/2025,94
10/1/2025,41
10/1/2025,805
10/1/2025,357
10/1/2025,266
,0
10/1/2025,612
10/1/2025,585
10/1/2025,332
,
10/1/2025,1146
10/1/2025,820
10/1/2025,837
10/1/2025,547
10/1/2025,164
10/1/2025,264
10/1/2025,41
,0
10/1/2025,273
10/1/2025,185
,
10/1/2025,632
10/1/2025,1188
9/30/2025,259
,0
,0
9/30/2025,1603
9/30/2025,61
9/30/2025,465
9/30/2025,1256
,0
9/30/2025,1291
9/30/2025,133
9/30/2025,824
,0
,0
9/30/2025,310
,0
,0
,0
,0
,
9/30/2025,309
9/30/2025,423
9/30/2025,330
9/30/2025,997
9/30/2025,688
,0
9/29/2025,220
,0
9/29/2025,316
,0
,0
,0
9/29/2025,223
,0
9/29/2025,113
,0
9/29/2025,692
9/29/2025,461
9/29/2025,172
9/29/2025,963
9/29/2025,568
9/29/2025,463
,0
9/29/2025,359
,0
9/29/2025,219
,0
9/25/2025,575
9/25/2025,802
,0
9/25/2025,538
9/25/2025,715
9/25/2025,561
9/25/2025,151
,0
,0
,0
,0
9/25/2025,185
9/25/2025,353
9/25/2025,982
9/25/2025,962
9/25/2025,1135
9/25/2025,539
9/25/2025,1567
9/25/2025,1185
9/25/2025,820
,0
,
9/25/2025,260
,0
,0
9/24/2025,216
9/24/2025,186
,0
9/24/2025,647
,0
9/24/2025,1304
9/24/2025,687
,0
9/24/2025,125
9/24/2025,791
9/24/2025,1583
9/24/2025,526
,0
,0
9/24/2025,1091
9/24/2025,425
,
,0
,
,
9/23/2025,914
9/23/2025,511
9/23/2025,727
9/23/2025,769
9/23/2025,214
9/23/2025,878
9/23/2025,472
9/23/2025,486
,
9/23/2025,333
9/23/2025,58
,0
,0
,0
9/23/2025,0
9/23/2025,172
,0
,0
,0
,0
9/23/2025,86
,0
9/23/2025,944
9/22/2025,1023
,0
9/22/2025,4
9/22/2025,690
,
9/22/2025,527
9/22/2025,2201
,0
,0
9/22/2025,555
9/22/2025,206
9/22/2025,698
,0
,0
9/22/2025,619
9/22/2025,201
9/22/2025,3726
9/22/2025,141
9/22/2025,134
,0
9/22/2025,184
9/22/2025,163
9/22/2025,474
9/22/2025,133
9/22/2025,434
9/22/2025,517
9/19/2025,433
,0
9/19/2025,855
,0
9/19/2025,178
9/19/2025,129
9/19/2025,891
,0
9/19/2025,300
9/19/2025,512
9/19/2025,391
9/19/2025,337
9/19/2025,302
,0
,0
9/19/2025,98
9/19/2025,961
9/19/2025,452
9/19/2025,520
,0
,0
,0
,0
,0
,0
9/18/2025,9
9/18/2025,965
9/18/2025,474
,
,
,0
,0
,0
,0
9/18/2025,73
,0
,0
,0
9/18/2025,1018
,0
,0
5 12:24 PM,0
,0
,0
9/18/2025,403
9/18/2025,1133
,0
5 10:59 AM,0
9/18/2025,547
,0
9/18/2025,611
9/18/2025,380
9/18/2025,1637
9/17/2025,571
9/17/2025,140
9/17/2025,235
0:09:40 vi,0
9/17/2025,3
9/17/2025,475
9/17/2025,89
9/17/2025,4
9/17/2025,118
9/17/2025,1034
9/17/2025,560
9/17/2025,384
,0
,
9/17/2025,593
9/17/2025,1501
9/17/2025,846
9/17/2025,452
5 12:34 PM,0
9/17/2025,206
9/17/2025,817
9/17/2025,3290
,0
9/17/2025,47
9/17/2025,885
,0
,0
,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
9/8/2025,1323
9/8/2025,0
9/8/2025,2682
9/8/2025,64
,
9/8/2025,962
9/8/2025,736
9/8/2025,824
,0
9/8/2025,2096
,0
9/8/2025,405
9/8/2025,346
9/8/2025,892
9/8/2025,131
9/8/2025,342
,
,0
,0
9/8/2025,110
9/8/2025,1807
,0
9/8/2025,142
9/5/2025,326
,0
,
,
,
,0
9/5/2025,450
9/5/2025,608
9/5/2025,446
,0
,0
9/5/2025,2500
,0
9/5/2025,623
9/5/2025,3
9/5/2025,273
9/5/2025,87
9/5/2025,419
9/5/2025,684
9/5/2025,400
9/4/2025,825
9/4/2025,858
,
,0
0:09:42 vi,0
,0
,0
9/4/2025,2404
9/4/2025,1316
,0
,0
9/4/2025,872
9/4/2025,287
,
9/4/2025,1012
9/4/2025,980
9/4/2025,51
,0
9/4/2025,1160
,
9/4/2025,431
9/4/2025,275
9/4/2025,521
,
,0
9/3/2025,366
,0
,0
,0
9/3/2025,449
,0
9/3/2025,1419
9/3/2025,1901
9/3/2025,358
9/3/2025,665
9/3/2025,1058
9/3/2025,383
9/3/2025,754
9/3/2025,1603
9/3/2025,385
9/3/2025,1307
9/2/2025,2565
,0
9/2/2025,253
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
9/2/2025,285
,0
,0
9/2/2025,296
9/2/2025,343
,0
,
9/2/2025,683
,0
,0
9/2/2025,867
,0
9/1/2025,511
9/1/2025,465
,0
9/1/2025,591
,0
,0
,0
,0
9/1/2025,1969
,0
9/1/2025,169
9/1/2025,555
9/1/2025,786
9/1/2025,2376
9/1/2025,657
9/1/2025,1286
9/1/2025,36
9/1/2025,257
9/1/2025,726
,0
,0
8/29/2025,688
8/29/2025,698
8/29/2025,838
8/29/2025,401
8/29/2025,2345
,0
8/29/2025,2361
8/29/2025,253
8/29/2025,191
8/29/2025,251
8/29/2025,129
8/29/2025,1650
8/29/2025,492
8/29/2025,436
8/29/2025,256
8/29/2025,285
8/29/2025,3000
,
8/28/2025,625
8/28/2025,2166
,0
,0
8/28/2025,883
,0
8/28/2025,131
8/28/2025,396
8/28/2025,1040
8/28/2025,167
8/28/2025,1585
8/28/2025,509
8/28/2025,2833
8/28/2025,1576
8/28/2025,511
,0
,0
8/28/2025,281
8/28/2025,796
8/28/2025,506
8/28/2025,78
8/27/2025,17
,0
8/27/2025,526
8/27/2025,56
8/27/2025,13
8/27/2025,363
8/27/2025,1205
,0
8/27/2025,1175
8/27/2025,770
8/27/2025,426
8/27/2025,1753
8/27/2025,196
,
8/27/2025,715
8/27/2025,1109
,0
8/27/2025,128
,0
8/26/2025,612
,0
,0
,0
,0
8/26/2025,236
8/26/2025,223
8/26/2025,1030
,0
8/26/2025,317
8/26/2025,1273
8/26/2025,170
8/26/2025,2218
8/26/2025,438
8/26/2025,778
,0
,0
8/26/2025,1043
8/26/2025,194
,
8/26/2025,863
8/26/2025,4609
8/26/2025,117
8/25/2025,187
8/25/2025,262
8/25/2025,0
8/25/2025,542
,0
,0
8/25/2025,1920
8/25/2025,411
,0
8/25/2025,201
,0
,0
8/25/2025,900
8/25/2025,176
8/25/2025,258
8/25/2025,1550
8/25/2025,191
,0
8/25/2025,413
8/25/2025,1610
8/25/2025,305
,0
,0
8/25/2025,141
8/25/2025,1811
8/25/2025,674
,0
8/25/2025,584
8/22/2025,2007
8/22/2025,581
8/22/2025,327
8/22/2025,0
8/22/2025,0
8/22/2025,1081
8/22/2025,3718
,
,0
8/22/2025,754
8/22/2025,1301
8/22/2025,1172
8/22/2025,1085
,
,0
8/22/2025,581
,0
8/22/2025,299
8/22/2025,492
8/22/2025,1215
8/21/2025,224
8/21/2025,218
8/21/2025,205
8/21/2025,181
8/21/2025,336
,0
8/21/2025,809
8/21/2025,625
,0
8/21/2025,1256
,0
8/21/2025,157
8/21/2025,890
,0
,
8/21/2025,602
8/21/2025,513
8/21/2025,410
8/21/2025,413
8/21/2025,201
8/21/2025,93
8/21/2025,83
8/21/2025,155
,0
8/21/2025,357
8/21/2025,72
8/21/2025,155
8/21/2025,1301
8/21/2025,126
8/21/2025,342
8/20/2025,2130
8/20/2025,350
8/20/2025,649
8/20/2025,725
8/20/2025,420
8/20/2025,699
8/20/2025,301
,0
8/20/2025,283
,0
,
,
8/20/2025,241
8/20/2025,357
8/20/2025,720
,0
8/20/2025,840
8/20/2025,1733
8/20/2025,1107
8/20/2025,254
8/20/2025,230
,0
8/20/2025,280
8/20/2025,1265
,0
8/20/2025,328
8/20/2025,1552
,0
8/19/2025,834
8/19/2025,760
,0
,0
,0
8/19/2025,1292
8/19/2025,369
8/19/2025,619
,0
8/19/2025,610
,0
8/19/2025,261
,0
8/19/2025,476
,0
,0
,0
,0
,0
,0
8/19/2025,4217
8/19/2025,1162
8/19/2025,738
8/19/2025,365
8/19/2025,2726
,0
8/18/2025,123
8/18/2025,1902
8/18/2025,635
8/18/2025,1219
8/18/2025,575
,0
8/18/2025,272
8/18/2025,361
8/18/2025,898
8/18/2025,1191
,0
8/18/2025,1188
8/18/2025,1670
8/18/2025,550
8/18/2025,583
8/18/2025,1953
8/18/2025,754
8/18/2025,350
,0
8/18/2025,308
8/18/2025,780
8/15/2025,2293
,0
,0
8/15/2025,0
8/15/2025,777
8/15/2025,470
8/15/2025,157
,0
,0
,0
8/15/2025,28
5 12:28 PM,0
8/15/2025,243
8/15/2025,663
8/15/2025,416
8/15/2025,1020
,0
8/15/2025,534
8/15/2025,16
,0
,0
,0
8/14/2025,956
,0
,0
8/14/2025,1934
8/14/2025,574
8/14/2025,478
8/14/2025,23
,0
8/14/2025,321
8/14/2025,587
8/14/2025,1242
8/13/2025,176
,
8/13/2025,4
,0
8/13/2025,457
,0
,0
,0
8/13/2025,391
0:11:16 vi,0
8/13/2025,144
8/13/2025,722
,0
,0
,0
8/13/2025,1137
,0
8/13/2025,172
8/13/2025,648
8/13/2025,1792
,0
,0
,0
,0
,0
,
8/13/2025,87
5 10:23 AM,0
,0
,0
8/13/2025,1191
8/13/2025,263
8/13/2025,235
,0
,0
8/12/2025,0
8/12/2025,0
8/12/2025,806
8/12/2025,1375
8/12/2025,140
8/12/2025,830
8/12/2025,448
,0
8/12/2025,264
8/12/2025,990
8/12/2025,1258
,
,
8/12/2025,91
,0
8/12/2025,820
,0
8/12/2025,0
8/12/2025,0
,0
,0
,0
,0
8/12/2025,193
,0
8/12/2025,1153
8/12/2025,957
8/12/2025,769
8/11/2025,1515
8/11/2025,172
8/11/2025,349
,0
,0
,0
8/11/2025,67
8/11/2025,702
,0
,
8/11/2025,247
8/11/2025,805
8/11/2025,286
8/11/2025,870
8/11/2025,904
8/11/2025,766
,0
00:01:50 v,0
8/11/2025,973
,0
,
8/8/2025,835
,
,
,0
8/8/2025,654
8/8/2025,90
8/8/2025,115
8/8/2025,366
8/8/2025,236
8/8/2025,1802
8/8/2025,170
8/8/2025,306
8/8/2025,403
8/8/2025,223
8/8/2025,319
8/8/2025,408
8/8/2025,442
8/8/2025,212
8/8/2025,587
8/8/2025,308
8/8/2025,435
8/8/2025,342
8/7/2025,0
8/7/2025,848
8/7/2025,346
8/7/2025,600
8/7/2025,1393
8/7/2025,1817
,
8/7/2025,615
8/7/2025,478
8/7/2025,386
8/7/2025,569
8/7/2025,893
8/7/2025,1032
8/7/2025,386
8/6/2025,703
8/6/2025,567
,0
,0
8/6/2025,1367
,0
,0
,0
,0
,0
,0
